000000;//
100011;//WP拉高

001011;//EE
011011;
001011;
011011;
001011;
011011;
000011;
010011;
001011;
011011;
001011;
011011;
001011;
011011;
000011;
010011;

100011;

001011;//89
011011;
000011;
010011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
001011;
011011;

100011;

001011;//90
011011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
000011;
010011;
000011;
010011;

100011;

001011;//EB
011011;
001011;
011011;
001011;
011011;
000011;
010011;
001011;
011011;
000011;
010011;
001011;
011011;
001011;
011011;

000000;//
100011;

001011;//EE
011011;
001011;
011011;
001011;
011011;
000011;
010011;
001011;
011011;
001011;
011011;
001011;
011011;
000011;
010011;

100011;

001011;//89
011011;
000011;
010011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
001011;
011011;

100011;

001011;//90
011011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
000011;
010011;
000011;
010011;

100011;

000011;//11
010011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
000011;
010011;
001011;
011011;

00x011;//A23-A16
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;

00x011;//A15-A8
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;

00x011;//A7-A0
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;


100010;//WP拉低

//Data15-0
//CE

100011;//WP拉高
